address,diffamount
0x05cb57536a6221db07dcfa75171ce2f2d4fc051d,16174
0x05d574de70a63202b53a235463b09f250a7aa246,26745
0x05e15fd0f041de110e797a9c5359d7ce853ff526,18222
0x05f1bb7dfcc2edd40eff4dd45840cf7e781b7ac4,44759
0x05f34400f0abbf50ebda7247a4c99bda519e0d3a,18222
0x06111a6ab8aa06a71d6ad36118cbf5b77bd77681,26745
0x063210b8fdcfc0721658f7cf9ec1b8ca24457572,18222
0x063a6385b38882306c8afacaa4abe89751bc7db4,18222
0x0689c878d0ed42703901a2ca095fd85a50880618,21396
0x068ee32a61e502990e2b02ba1c0d5e864398d0f9,18222
0x06a9e7152040d4c380021944d92ae5539e918167,14578
0x06b4fd39dfd89cf47a92cde330401ffb7f50742b,44759
0x06d728ffa4193bd64c4657561a480102018875d5,16174
0x06d919b106db5928cc7f506c414e0b8e9010e39e,18222
0x06e9699893e1a0636ef2a986bb7dd48d85e56345,26745
0x071a871a57efe2a2e79f48fe4d66a7281b961858,26745
0x071b54a8c45f4bd9775bce29b6e5893f7d0048f0,26745
0x071d22752912639a9a99b1c84d975ffbadce1f3d,14578
0x0732bfb2601f41f377d502640109d116a6682206,18222
0x074abbd4c95a4ec4f0f0d508962978720f109e17,18222
0x0760e844e6f368ce73f1eeb917d37db19375de3b,35807
0x076d6da60aaac6c97a8a0fe8057f9564203ee545,44759
0x0772145d6e60159a88ab8c82d227dbe77c753edd,44759
0x0773d484dede31fd879d7c04cb1472d35878ac7c,26745
0x0793244e50c43a838528da38ad0c1c10003e58e2,21396
0x07a145dbbc7e425d0f1b3b9982f955e97abad7a2,14578
0x07cff6218249a2351a174bdc1e5b1632e8e4e673,14578
0x083f79bf67004b2be9a307e09d92786ed7627522,21396
0x0850cb25716b97e6c952c88059a636b80772b3fd,26745
0x086444fe4a26c2a5ebd4408f9c2da4a0c4989538,14578
0x086863620790827b167a6e0bec22d8314a032c11,35807
0x088b47f76f4696ed16f9674dde39e9e9b5d8451c,26745
0x08a591a47109100e8d2791f74c89a028a95154a2,14578
0x08b30176bb5060d91e730a966ff97121697ea5dc,16174
0x08d35e4fc4ef3309f1279e559e06d4bdc98c8426,44759
0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,16174
0x08eb67e79c2ee5c61a0e4fa1af981e73868f82c2,18222
0x090447f0fa1ca9204e270fcfcf075c8203b5b175,26745
0x090e1fdc0cb866317751f0621884a203a8d797aa,26745
0x091cd8ab9feb8e55cc5b21d9adaf866b3e5b46d2,35807
0x0944365ffdfb9c9f69795c015a911f5e34a75d26,44759
0x096e56632ad5631b59dc9269bad04f8c62ab35ce,18222
0x09803e1a248ffa8556e76516591d2a63e1fe0efe,44759
0x098c6608edda84b5d4aca7a7d7727ffa284fbaa8,14578
0x099b7bcbaafbf447aa695df15cb345ca4dcf9462,35807
0x09b69644e0e687132e6bce0902a2cb79c3395564,44759
0x09d5fbd3f46329fea246e33108aba9ceb6307bdc,44759
0x09dd35bbf83e64e90f998e54c9d0ecb9b0e614b5,14578
0x09f6132677d31a1c6aeca0e71d9f81f2c7c6ca8f,16174
0x0a26e8a4305ad5d9e6844e9d2aad05262b1285e6,16174
0x0a9e0a4cfffc9a7c7df37d8300e9f79ad15b986f,35807
0x0aa4374b2941ea5da3944254cb399f3e2dc56234,21396
0x0ab1ef7f2b90b201fd24c8d8860fdb63752dff7c,14578
0x0ac29a22542aa9898370b0a358ab030950d92766,16174
0x0ac31def719fe177e0621a5f83df712be009d41e,26745
0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,21396
0x0b0e6486648fbbb8e9ab33e3ae9d0b44b6faa701,35807
0x0b2af27ab4bb7d71a053fb362e01ace985b476fc,18222
0x0b31e728d60fd17b849c0585eaaa9b6d8888f032,21396
0x0b327b731f996d7c6002fab6a0adafdf1525fd28,18222
0x0b634e1d0e7c523da21959b53b2fccc2aa5b0769,818537
0x0b63a0908bfe319fe11374a8bf73559d0421b6be,21396
0x0b98718264ca14d0a17c145ffe1e4f3c38a39372,26745
0x0b9dd85146148bb526e18e170b9dc526fca2b849,44759
0x0ba43bae4613e03492e4c17af3b014b6c3202b9d,18222
0x0bbd1a4857bedc015f49d0dd3e1e692f1b77bfd7,21396
0x0bca3365d48764b7ef95bd5e809769fca43f448b,18222
0x0bf2423ad1aa21718dfdcc5b60cd2c6ae1c772c9,21396
0x0c3baea2fe713be081a366c5b405da5ea1236751,21396
0x0c46cfffc36ed122a12cdce0a5a5e1a4bedf246d,21396
0x0c5881f603d6988ff7eac3c1795b1ced11a961a8,21396
0x0c5cda931c48769031ad2e089a984543f1cdeeff,14578
0x0c74d12d4132b218f7d22aa13d076b299ca3b73c,14578
0x0cb1bb1afc12aca7da4e685165d094413748d835,26745
0x0cb2778d45068a0c452e40a70cabe8d4d6934ebf,16174
0x0cb3e6845829ba25aca4d39ce13934dc9f23e58b,18222
0x0cc73b6e713ddfc1c2b26c841c45ddad60aa772a,26745
0x0ce5b59327dea2df3a75f0bbf8697d0e8e1c24c8,21396
0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1,14578
0x0d1f2bd5351a65a78ac0bef3c8faef643c046508,35807
0x0d24d84927b210c27bdc7410dcfe885d11196d4f,18222
0x0d35588f47a7492089f20ecc3891e4eb8dfe5da4,18222
0x0d3658152e750f6a4133c378634c79bd54992dc8,18222
0x0d45e4bd56929dc6be485be4185911eaba53e146,26745
0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,35807
0x0d7455ce739f7897a6f17386abc3e7e275beedca,16174
0x0d90273780b93ac5eb41a0480b8c9d041d3a9aa0,35807
0x0d94c4dbe58f6fe1566a7302b4e4c3cd03744626,26745
0x0dcf3666bdfa58628d8c3bcd68692add3f14857d,35807
0x0deca16a776c68ebdedca6af26fe94b11d911d95,26745
0x0dfd299c29b24472352236d6692668bdc3b06f69,44759
0x0e436010a85b0ceaf0003733c0379fddec66eadd,18222
0x0e5d4c1f7c731db614c65f7c215f86cda766e5e7,16174
0x0e6425c5666dd516993e99cafed9767830cb37f9,14578
0x0e77944b382e8ce22f71618e2f7e8d150f145a2a,18222
