wallet_address,allocation
0x1163CeEbE99ced680A1eC4054DCEADa2F9664437,392656400800000000000
0x118de97277d6Db92f64d3b985B08fF6B2a114076,1600606637000000000000
0x119BB0C3Ddb2495CF69F8cC0a70A0F943F889BDE,2688038602000000000000
0x11Bc973ACc1d7c344929CCDc1d1C97cE58D740F1,6550011549000000000000
0x11C0f196e606916cB18211E0750924A2a6eA4917,1305577117000000000000
0x11ad3a617207F841e4110EaD327388B3FDAf2fC8,631319974600000000000
0x11bC1fE797DA8428fF275c9ad3c02971ce8BA104,2782155400000000000000
0x1226FF858C262D499AF401145BeAbebf3312e856,4327185635000000000000
0x12372b0ee93caFe88D00ec53da94CA73B5FD767e,816069037200000000000
0x124e06F78B85e04707Cb8F2c744D74d81F42F2C2,1780671657000000000000
0x1267a61729027011a96913770469260016b06681,10320926980000000000000
0x1281A54773bd36C02aacB21df858687016DBc19d,3281105974000000000000
0x1298ebFCDc11462eCC4F2D8BB74aa5a566EA9f84,375169584700000000000
0x12D23991BD8a25333036CF41F44AF6894F2Ca61C,468299513600000000000
0x1428Db9758A960cEce781bC520ce8Ccf2D0581F0,662558711200000000000
0x1446F9571bb859F524969BdaCfd470220F3Ea040,933346098700000000000
0x144e1547AD7be53ED5F751406a661540B860D522,2433879567000000000000
0x146f2Aaa6e6B36Cdf8FAF037d2C50a00b38Be34d,3587164827000000000000
0x147f138fc56629622c77f0D6c126925D55E79fF2,7849121984000000000000
0x1485c739773DCAa30CC00955824c7507062823B0,647733641200000000000
0x1487d02fF09b9ff91aD5541CeA3fEACF891F15c6,339946565400000000000
0x148F4e63611be189601f1F1555d4C79e8cEBddC8,5434323973000000000000
0x14C6A3Fb0fa46A43d01DC7426D7c27cf8C71c10a,2003627696000000000000
0x14D7DCFA4678964d4816BEC2b3E891D28eC022CC,662173644000000000000
0x14c681a2995A195e5F8004FdCD9750aBd868CD59,876619841300000000000
0x14c97d009cBC9BCf97A9D6888aB96b2502cbE106,397036172500000000000
0x14e2529e0eeD71e174fFD16d47f46782424286aF,343578881200000000000
0x1528Ce73a56eccc6F2A82B90435D9841fA0b3aDf,4965916143000000000000
0x153619c8bF47BdBC411302EA72487b32bB95D2cB,423285142700000000000
0x156daF376cfbDD938c470a227508B0ba022C998F,428186205000000000000
0x156e5aB67973a9160a95FA28a741d6cb1D90E0BB,6782850827000000000000
0x158E34BF5928488D667eCD15955ebA3E3e8304c1,392050778900000000000
0x1605d2893Df5a34a7CC8Ca0b2345a98283d82e14,780704505300000000000
0x161f940EC338096981De6B157ea5b3A4390258B5,2551446817000000000000
0x1641853D7068c0977D336e3E74b96c7fbA51e62a,3024940570000000000000
0x16504b3a9390C57BFa8Cc7Fe55f0C8Cc33200D0F,658047316800000000000
0x16576E6d7CfD91338Fb905a0a2Af1979b8624ce8,312605441900000000000
0x167A873dcA0E1c69d058aA76659A699DF7b5EEed,745125417000000000000
0x16aAD8A37974363d7B8aE54829818F8b8009E501,658029579300000000000
0x16f665dA6D806760aFC317ee29Ef2feF2Ff4976E,939468579500000000000
0x1716d25030565F290DFf775Ad19Ea377b78ab9bB,324822019600000000000
0x171e286a34Da24d67503b2E972546DbFCf2E1228,479689126200000000000
0x17542889f48d43E97e70Bc439D6A130c7eD5183C,1547480011000000000000
0x17542B7743723203C5Ed9cE86CebC49089B1eF97,2194556668000000000000
0x175c60916Ccd377C6d9D8a1B58863dFdeca90Cfd,1565294243000000000000
0x178173627AA2f703e1A4AdB549791aCEe019b283,1523296697000000000000
0x17938c048aBd322A7931fFADC65B1170859E5E48,832013322600000000000
0x17B8d88D9Cb738d8234224bCDd52ac126668eF82,1471565354000000000000
0x17E5a662B373673475C51b6DB9d79Bd291dcE573,2973005505000000000000
0x17F1AB3be940e1Cdde69cb7C97cDc4F6124fbF5F,469824392700000000000
0x17b2d631434EBA082409Fc49C419Cc9d9E63a0f6,675855359700000000000
0x17dAF278f0d4e406B435EA74387f52D0b18C5c25,5297475009000000000000
0x17f0c59E372A186b229496721e09e50C58e31e46,371619906600000000000
0x181235Fb8233aDFFDcd878854e7033ef66e3AEAc,2388639924000000000000
0x1813E3F70aF99b6501c669531B74E03674A235B9,344562243500000000000
0x18142643D98bBE956E1ceffa93F8b2884dF86c0b,1289735708000000000000
